            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460147.104166667, A.D. 2023-Jul-21 14:30:00.0000, -3.806320619337317E+05,  1.373634745867294E+05,  2.668207354666785E+04,
2460147.125000000, A.D. 2023-Jul-21 15:00:00.0000, -3.812026722973103E+05,  1.357183309520301E+05,  2.658008871601927E+04,
2460147.145833333, A.D. 2023-Jul-21 15:30:00.0000, -3.817658145235041E+05,  1.340706071775662E+05,  2.647757949397114E+04,
2460147.166666667, A.D. 2023-Jul-21 16:00:00.0000, -3.823214759582753E+05,  1.324203349101446E+05,  2.637454780674088E+04,
2460147.187500000, A.D. 2023-Jul-21 16:30:00.0000, -3.828696440665071E+05,  1.307675458492123E+05,  2.627099558997982E+04,
2460147.208333333, A.D. 2023-Jul-21 17:00:00.0000, -3.834103064321699E+05,  1.291122717465488E+05,  2.616692478875579E+04,
2460147.229166667, A.D. 2023-Jul-21 17:30:00.0000, -3.839434507584884E+05,  1.274545444059589E+05,  2.606233735753524E+04,
2460147.250000000, A.D. 2023-Jul-21 18:00:00.0000, -3.844690648681094E+05,  1.257943956829658E+05,  2.595723526016585E+04,
2460147.270833333, A.D. 2023-Jul-21 18:30:00.0000, -3.849871367032687E+05,  1.241318574845050E+05,  2.585162046985875E+04,
2460147.291666667, A.D. 2023-Jul-21 19:00:00.0000, -3.854976543259601E+05,  1.224669617686187E+05,  2.574549496917114E+04,
2460147.312500000, A.D. 2023-Jul-21 19:30:00.0000, -3.860006059181027E+05,  1.207997405441506E+05,  2.563886074998880E+04,
2460147.333333333, A.D. 2023-Jul-21 20:00:00.0000, -3.864959797817101E+05,  1.191302258704409E+05,  2.553171981350867E+04,
2460147.354166667, A.D. 2023-Jul-21 20:30:00.0000, -3.869837643390592E+05,  1.174584498570222E+05,  2.542407417022139E+04,
2460147.375000000, A.D. 2023-Jul-21 21:00:00.0000, -3.874639481328595E+05,  1.157844446633158E+05,  2.531592583989401E+04,
2460147.395833333, A.D. 2023-Jul-21 21:30:00.0000, -3.879365198264233E+05,  1.141082424983281E+05,  2.520727685155279E+04,
2460147.416666667, A.D. 2023-Jul-21 22:00:00.0000, -3.884014682038352E+05,  1.124298756203475E+05,  2.509812924346575E+04,
2460147.437500000, A.D. 2023-Jul-21 22:30:00.0000, -3.888587821701234E+05,  1.107493763366421E+05,  2.498848506312565E+04,
2460147.458333333, A.D. 2023-Jul-21 23:00:00.0000, -3.893084507514305E+05,  1.090667770031578E+05,  2.487834636723270E+04,
2460147.479166667, A.D. 2023-Jul-21 23:30:00.0000, -3.897504630951847E+05,  1.073821100242157E+05,  2.476771522167752E+04,
2460147.500000000, A.D. 2023-Jul-22 00:00:00.0000, -3.901848084702727E+05,  1.056954078522115E+05,  2.465659370152406E+04,
2460147.520833333, A.D. 2023-Jul-22 00:30:00.0000, -3.906114762672111E+05,  1.040067029873144E+05,  2.454498389099248E+04,
2460147.541666667, A.D. 2023-Jul-22 01:00:00.0000, -3.910304559983204E+05,  1.023160279771660E+05,  2.443288788344228E+04,
2460147.562500000, A.D. 2023-Jul-22 01:30:00.0000, -3.914417372978982E+05,  1.006234154165804E+05,  2.432030778135529E+04,
2460147.583333333, A.D. 2023-Jul-22 02:00:00.0000, -3.918453099223931E+05,  9.892889794724426E+04,  2.420724569631879E+04,
2460147.604166667, A.D. 2023-Jul-22 02:30:00.0000, -3.922411637505800E+05,  9.723250825741672E+04,  2.409370374900862E+04,
2460147.625000000, A.D. 2023-Jul-22 03:00:00.0000, -3.926292887837347E+05,  9.553427908163056E+04,  2.397968406917240E+04,
2460147.645833333, A.D. 2023-Jul-22 03:30:00.0000, -3.930096751458103E+05,  9.383424320039281E+04,  2.386518879561272E+04,
2460147.666666667, A.D. 2023-Jul-22 04:00:00.0000, -3.933823130836135E+05,  9.213243343988601E+04,  2.375022007617044E+04,
2460147.687500000, A.D. 2023-Jul-22 04:30:00.0000, -3.937471929669820E+05,  9.042888267166984E+04,  2.363478006770798E+04,
2460147.708333333, A.D. 2023-Jul-22 05:00:00.0000, -3.941043052889616E+05,  8.872362381238269E+04,  2.351887093609263E+04,
2460147.729166667, A.D. 2023-Jul-22 05:30:00.0000, -3.944536406659856E+05,  8.701668982344368E+04,  2.340249485617999E+04,
2460147.750000000, A.D. 2023-Jul-22 06:00:00.0000, -3.947951898380533E+05,  8.530811371075480E+04,  2.328565401179740E+04,
2460147.770833333, A.D. 2023-Jul-22 06:30:00.0000, -3.951289436689100E+05,  8.359792852440328E+04,  2.316835059572736E+04,
2460147.791666667, A.D. 2023-Jul-22 07:00:00.0000, -3.954548931462278E+05,  8.188616735836421E+04,  2.305058680969107E+04,
2460147.812500000, A.D. 2023-Jul-22 07:30:00.0000, -3.957730293817865E+05,  8.017286335020335E+04,  2.293236486433195E+04,
2460147.833333333, A.D. 2023-Jul-22 08:00:00.0000, -3.960833436116560E+05,  7.845804968077978E+04,  2.281368697919923E+04,
2460147.854166667, A.D. 2023-Jul-22 08:30:00.0000, -3.963858271963791E+05,  7.674175957394909E+04,  2.269455538273161E+04,
